"BF","subj_id","BF_alt","comparison","comparison_reordered","subj_id_anon"
9.11572704935895e+36,"786",1.09700520275047e-37,"theta_radians_z ~ epoch_trial : theta_radians_z ~ 1","theta_radians_z ~ epoch_trial : theta_radians_z ~ 1","1"
9.94227881669983e+37,"786",1.00580562910821e-38,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ 1","theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ 1","1"
1.98344272826258e+30,"786",5.04173871899977e-31,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal + lambda_val * epoch_trial + p_optimal * epoch_trial : theta_radians_z ~ 1","theta_radians_z ~ epoch_trial + lambda_val + p_optimal + lambda_val * epoch_trial + p_optimal * epoch_trial : theta_radians_z ~ 1","1"
1.14779798400136e+33,"786",8.71233452174122e-34,"theta_radians_z ~ epoch_trial + lambda_val + lambda_val * epoch_trial : theta_radians_z ~ 1","theta_radians_z ~ epoch_trial + lambda_val + lambda_val * epoch_trial : theta_radians_z ~ 1","1"
7.08268360529275e+37,"786",1.41189421373096e-38,"theta_radians_z ~ epoch_trial + p_optimal + p_optimal * epoch_trial : theta_radians_z ~ 1","theta_radians_z ~ epoch_trial + p_optimal + p_optimal * epoch_trial : theta_radians_z ~ 1","1"
2.33932780588487e+26,"786",4.274732243529e-27,"theta_radians_z ~ epoch_trial + p_optimal + lambda_val + p_optimal * lambda_val * epoch_trial : theta_radians_z ~ 1","theta_radians_z ~ epoch_trial + p_optimal + lambda_val + p_optimal * lambda_val * epoch_trial : theta_radians_z ~ 1","1"
1.19627461690398e+48,"787",8.35928461466521e-49,"theta_radians_z ~ epoch_trial : theta_radians_z ~ 1","theta_radians_z ~ epoch_trial : theta_radians_z ~ 1","2"
6.05446337338644e+45,"787",1.65167404331108e-46,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ 1","theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ 1","2"
7.07881465550674e+36,"787",1.41266588922777e-37,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal + lambda_val * epoch_trial + p_optimal * epoch_trial : theta_radians_z ~ 1","theta_radians_z ~ epoch_trial + lambda_val + p_optimal + lambda_val * epoch_trial + p_optimal * epoch_trial : theta_radians_z ~ 1","2"
1.00254256282797e-26,"787",9.97463885402737e+25,"theta_radians_z ~ epoch_trial + lambda_val + lambda_val * epoch_trial : theta_radians_z ~ 1","theta_radians_z ~ epoch_trial + lambda_val + lambda_val * epoch_trial : theta_radians_z ~ 1","2"
2.46347389063083e-43,"787",4.05930829550592e+42,"theta_radians_z ~ epoch_trial + p_optimal + p_optimal * epoch_trial : theta_radians_z ~ 1","theta_radians_z ~ epoch_trial + p_optimal + p_optimal * epoch_trial : theta_radians_z ~ 1","2"
