"BF","subj_id","BF_alt","comparison","comparison_reordered","subj_id_anon"
10.9067315891155,"786",0.0916864957965921,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ epoch_trial","1"
2.17584699226165e-07,"786",4595911.40165865,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal + lambda_val * epoch_trial + p_optimal * epoch_trial : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + lambda_val + p_optimal + lambda_val * epoch_trial + p_optimal * epoch_trial : theta_radians_z ~ epoch_trial","1"
2.56625477399455e-11,"786",38967292341.1042,"theta_radians_z ~ epoch_trial + p_optimal + lambda_val + p_optimal * lambda_val * epoch_trial : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + p_optimal + lambda_val + p_optimal * lambda_val * epoch_trial : theta_radians_z ~ epoch_trial","1"
0.00506109825272033,"787",197.585573341221,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ epoch_trial","2"
5.91738264398441e-12,"787",168993634544.928,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal + lambda_val * epoch_trial + p_optimal * epoch_trial : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + lambda_val + p_optimal + lambda_val * epoch_trial + p_optimal * epoch_trial : theta_radians_z ~ epoch_trial","2"
1.72206695665617e-23,"787",5.80697513609896e+22,"theta_radians_z ~ epoch_trial + p_optimal + lambda_val + p_optimal * lambda_val * epoch_trial : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + p_optimal + lambda_val + p_optimal * lambda_val * epoch_trial : theta_radians_z ~ epoch_trial","2"
0.00487998951543985,"788",204.918473049192,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ epoch_trial","3"
7.87897974715078e-28,"788",1.26919986101198e+27,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal + lambda_val * epoch_trial + p_optimal * epoch_trial : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + lambda_val + p_optimal + lambda_val * epoch_trial + p_optimal * epoch_trial : theta_radians_z ~ epoch_trial","3"
3.96266634075946e-18,"788",252355337040146816,"theta_radians_z ~ epoch_trial + p_optimal + lambda_val + p_optimal * lambda_val * epoch_trial : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + p_optimal + lambda_val + p_optimal * lambda_val * epoch_trial : theta_radians_z ~ epoch_trial","3"
0.0022043919816959,"789",453.63982826261,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ epoch_trial","4"
1.39876159533006e-11,"789",71491811280.6803,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal + lambda_val * epoch_trial + p_optimal * epoch_trial : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + lambda_val + p_optimal + lambda_val * epoch_trial + p_optimal * epoch_trial : theta_radians_z ~ epoch_trial","4"
2.06596372089072e-17,"789",48403560521811176,"theta_radians_z ~ epoch_trial + p_optimal + lambda_val + p_optimal * lambda_val * epoch_trial : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + p_optimal + lambda_val + p_optimal * lambda_val * epoch_trial : theta_radians_z ~ epoch_trial","4"
10.9067315891155,"786",0.0916864957965921,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ epoch_trial","1"
2.17584699226165e-07,"786",4595911.40165865,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal + lambda_val * epoch_trial + p_optimal * epoch_trial : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + lambda_val + p_optimal + lambda_val * epoch_trial + p_optimal * epoch_trial : theta_radians_z ~ epoch_trial","1"
2.56625477399455e-11,"786",38967292341.1042,"theta_radians_z ~ epoch_trial + p_optimal + lambda_val + p_optimal * lambda_val * epoch_trial : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + p_optimal + lambda_val + p_optimal * lambda_val * epoch_trial : theta_radians_z ~ epoch_trial","1"
0.00506109825272033,"787",197.585573341221,"theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ epoch_trial","theta_radians_z ~ epoch_trial + lambda_val + p_optimal : theta_radians_z ~ epoch_trial","2"
